Date,Close,Return
2015-09-04,1.3282,0.781546
2015-09-07,1.3307,0.188225
2015-09-08,1.3208,-0.743969
2015-09-09,1.3259,0.38613
2015-09-10,1.3252,-0.052794
2015-09-11,1.3264,0.090552
2015-09-14,1.3265,0.007539
2015-09-15,1.3249,-0.120618
2015-09-16,1.3172,-0.581176
2015-09-17,1.3183,0.08351
2015-09-18,1.3226,0.326178
2015-09-21,1.3255,0.219265
2015-09-22,1.3272,0.128253
2015-09-23,1.332,0.361664
2015-09-24,1.3305,-0.112613
2015-09-25,1.3337,0.240511
2015-09-28,1.3397,0.449876
2015-09-29,1.3422,0.186609
2015-09-30,1.3313,-0.8121
2015-10-01,1.3268,-0.338015
2015-10-02,1.3152,-0.874284
2015-10-05,1.3086,-0.501825
2015-10-06,1.3034,-0.397371
2015-10-07,1.3057,0.176462
2015-10-08,1.3016,-0.314008
2015-10-09,1.2945,-0.545482
2015-10-12,1.2998,0.409424
2015-10-13,1.3039,0.315433
2015-10-14,1.2936,-0.789938
2015-10-15,1.2864,-0.556586
2015-10-16,1.2914,0.388682
2015-10-19,1.3019,0.813071
2015-10-20,1.298,-0.299562
2015-10-21,1.3139,1.224961
2015-10-22,1.3088,-0.388157
2015-10-23,1.3166,0.595966
2015-10-26,1.3153,-0.098739
2015-10-27,1.3269,0.881928
2015-10-28,1.3191,-0.587836
2015-10-29,1.3172,-0.144038
2015-10-30,1.308,-0.698451
2015-11-02,1.3094,0.107034
2015-11-03,1.306,-0.259661
2015-11-04,1.315,0.689127
2015-11-05,1.317,0.152091
2015-11-06,1.3306,1.03265
2015-11-09,1.3287,-0.142793
2015-11-10,1.3275,-0.090314
2015-11-11,1.3262,-0.097928
2015-11-12,1.3291,0.21867
2015-11-13,1.3323,0.240764
2015-11-16,1.3331,0.060047
2015-11-17,1.3321,-0.075013
2015-11-18,1.3303,-0.135125
2015-11-19,1.3284,-0.142825
2015-11-20,1.3346,0.466727
2015-11-23,1.3365,0.142365
2015-11-24,1.3305,-0.448934
2015-11-25,1.329,-0.11274
2015-11-26,1.3294,0.030098
2015-11-27,1.3371,0.579209
2015-11-30,1.3362,-0.06731
2015-12-01,1.3358,-0.029936
2015-12-02,1.3343,-0.112292
2015-12-03,1.3355,0.089935
2015-12-04,1.3362,0.052415
2015-12-07,1.3499,1.025296
2015-12-08,1.3585,0.637084
2015-12-09,1.358,-0.036805
2015-12-10,1.3625,0.33137
2015-12-11,1.3756,0.961468
2015-12-14,1.3734,-0.15993
2015-12-15,1.3733,-0.007281
2015-12-16,1.378,0.342241
2015-12-17,1.3937,1.139332
2015-12-18,1.3957,0.143503
2015-12-21,1.3959,0.01433
2015-12-22,1.392,-0.27939
2015-12-23,1.3849,-0.510057
2015-12-24,1.3821,-0.202181
2015-12-25,1.3824,0.021706
2015-12-28,1.3905,0.585938
2015-12-29,1.3844,-0.438691
2015-12-30,1.388,0.26004
2015-12-31,1.3839,-0.295389
2016-01-01,1.3855,0.115615
2016-01-04,1.3953,0.707326
2016-01-05,1.3996,0.308177
2016-01-06,1.4076,0.571592
2016-01-07,1.4115,0.277067
2016-01-08,1.4172,0.403826
2016-01-11,1.4216,0.310471
2016-01-12,1.4262,0.323579
2016-01-13,1.434,0.546908
2016-01-14,1.4366,0.181311
2016-01-15,1.4541,1.218154
2016-01-18,1.456,0.130665
2016-01-19,1.4579,0.130495
2016-01-20,1.4504,-0.514439
2016-01-21,1.4266,-1.640927
2016-01-22,1.4119,-1.030422
2016-01-25,1.4291,1.218217
2016-01-26,1.4118,-1.210552
2016-01-27,1.4096,-0.155829
2016-01-28,1.4029,-0.475312
2016-01-29,1.3976,-0.377789
2016-02-01,1.3948,-0.200343
2016-02-02,1.4055,0.767135
2016-02-03,1.3781,-1.949484
2016-02-04,1.3754,-0.195922
2016-02-05,1.3917,1.18511
2016-02-08,1.3927,0.071855
2016-02-09,1.3867,-0.430818
2016-02-10,1.3926,0.425471
2016-02-11,1.3937,0.078989
2016-02-12,1.385,-0.624238
2016-02-15,1.3834,-0.115523
2016-02-16,1.3864,0.216857
2016-02-17,1.3672,-1.384882
2016-02-18,1.3726,0.394968
2016-02-19,1.3766,0.291418
2016-02-22,1.3706,-0.435856
2016-02-23,1.3793,0.634759
2016-02-24,1.3702,-0.659755
2016-02-25,1.353,-1.255291
2016-02-26,1.3513,-0.125647
2016-02-29,1.354,0.199808
2016-03-01,1.341,-0.960118
2016-03-02,1.3417,0.0522
2016-03-03,1.3404,-0.096892
2016-03-04,1.3317,-0.64906
2016-03-07,1.3282,-0.262822
2016-03-08,1.3409,0.956181
2016-03-09,1.3248,-1.200686
2016-03-10,1.3346,0.739734
2016-03-11,1.3209,-1.026525
2016-03-14,1.326,0.3861
2016-03-15,1.3356,0.723982
2016-03-16,1.3097,-1.939203
2016-03-17,1.2976,-0.923876
2016-03-18,1.3004,0.215783
2016-03-21,1.3101,0.745924
2016-03-22,1.3049,-0.396916
2016-03-23,1.3204,1.18783
2016-03-24,1.3248,0.333232
2016-03-25,1.327,0.166063
2016-03-28,1.3187,-0.625471
2016-03-29,1.3074,-0.856905
2016-03-30,1.2966,-0.826067
2016-03-31,1.3004,0.293074
2016-04-01,1.3011,0.05383
2016-04-04,1.3088,0.591807
2016-04-05,1.3137,0.374389
2016-04-06,1.3089,-0.36538
2016-04-07,1.3145,0.42784
2016-04-08,1.2988,-1.19437
2016-04-11,1.2898,-0.692947
2016-04-12,1.2759,-1.077686
2016-04-13,1.2817,0.454581
2016-04-14,1.2844,0.210658
2016-04-15,1.2822,-0.171286
2016-04-18,1.2784,-0.296366
2016-04-19,1.2671,-0.883917
2016-04-20,1.2655,-0.126273
2016-04-21,1.2735,0.632161
2016-04-22,1.2672,-0.4947
2016-04-25,1.2678,0.047348
2016-04-26,1.2604,-0.583688
2016-04-27,1.2599,-0.03967
2016-04-28,1.2555,-0.349234
2016-04-29,1.2556,0.007965
2016-05-02,1.253,-0.207072
2016-05-03,1.2724,1.548284
2016-05-04,1.2869,1.139579
2016-05-05,1.2853,-0.12433
2016-05-06,1.2909,0.435696
2016-05-09,1.2962,0.410566
2016-05-10,1.291,-0.401173
2016-05-11,1.2853,-0.441518
2016-05-12,1.2846,-0.054462
2016-05-13,1.294,0.731745
2016-05-16,1.2895,-0.347759
2016-05-17,1.2909,0.108569
2016-05-18,1.3034,0.968317
2016-05-19,1.3094,0.460335
2016-05-20,1.3113,0.145105
2016-05-23,1.3143,0.228781
2016-05-24,1.3123,-0.152172
2016-05-25,1.302,-0.784882
2016-05-26,1.2979,-0.3149
2016-05-27,1.3021,0.3236
2016-05-30,1.3049,0.215037
2016-05-31,1.3093,0.337191
2016-06-01,1.3078,-0.114565
2016-06-02,1.3096,0.137636
2016-06-03,1.2937,-1.214111
2016-06-06,1.2817,-0.927572
2016-06-07,1.2735,-0.639775
2016-06-08,1.2693,-0.3298
2016-06-09,1.2724,0.244229
2016-06-10,1.2783,0.463691
2016-06-13,1.2837,0.422436
2016-06-14,1.2872,0.272649
2016-06-15,1.2912,0.310752
2016-06-16,1.2967,0.42596
2016-06-17,1.2894,-0.562968
2016-06-20,1.2806,-0.682488
2016-06-21,1.2817,0.085897
2016-06-22,1.2844,0.210658
2016-06-23,1.2753,-0.708502
2016-06-24,1.3004,1.968164
2016-06-27,1.3072,0.522916
2016-06-28,1.3025,-0.359547
2016-06-29,1.2935,-0.690979
2016-06-30,1.2924,-0.085041
2016-07-01,1.2912,-0.092851
2016-07-04,1.2846,-0.511152
2016-07-05,1.298,1.043126
2016-07-06,1.2962,-0.138675
2016-07-07,1.3002,0.308594
2016-07-08,1.3044,0.323027
2016-07-11,1.3117,0.559644
2016-07-12,1.3042,-0.571777
2016-07-13,1.2978,-0.490722
2016-07-14,1.2892,-0.66266
2016-07-15,1.2974,0.636053
2016-07-18,1.2945,-0.223524
2016-07-19,1.302,0.579374
2016-07-20,1.3057,0.284178
2016-07-21,1.3088,0.237421
2016-07-22,1.3127,0.297983
2016-07-25,1.3217,0.68561
2016-07-26,1.3188,-0.219414
2016-07-27,1.3189,0.007583
2016-07-28,1.3156,-0.250209
2016-07-29,1.303,-0.957738
2016-08-01,1.3124,0.721412
2016-08-02,1.311,-0.106675
2016-08-03,1.3067,-0.327994
2016-08-04,1.3019,-0.367338
2016-08-05,1.3172,1.175205
2016-08-08,1.3154,-0.136654
2016-08-09,1.3119,-0.266079
2016-08-10,1.3058,-0.464974
2016-08-11,1.2993,-0.497779
2016-08-12,1.2951,-0.323251
2016-08-15,1.2924,-0.208478
2016-08-16,1.2863,-0.47199
2016-08-17,1.2844,-0.14771
2016-08-18,1.2782,-0.482716
2016-08-19,1.2871,0.696292
2016-08-22,1.2946,0.582705
2016-08-23,1.2913,-0.254905
2016-08-24,1.2927,0.108418
2016-08-25,1.2922,-0.038679
2016-08-26,1.3003,0.626838
2016-08-29,1.3011,0.061524
2016-08-30,1.3099,0.676351
2016-08-31,1.3105,0.045805
2016-09-01,1.3103,-0.015261
2016-09-02,1.2993,-0.839502
2016-09-05,1.2928,-0.500269
2016-09-06,1.2844,-0.649752
2016-09-07,1.2884,0.311429
2016-09-08,1.2937,0.411363
2016-09-09,1.3049,0.865734
2016-09-12,1.304,-0.068971
2016-09-13,1.3176,1.042945
2016-09-14,1.3195,0.144202
2016-09-15,1.316,-0.265252
2016-09-16,1.3212,0.395137
2016-09-19,1.3203,-0.06812
2016-09-20,1.3189,-0.106037
2016-09-21,1.3101,-0.667223
2016-09-22,1.3042,-0.450347
2016-09-23,1.3172,0.99678
2016-09-26,1.3227,0.417552
2016-09-27,1.3196,-0.234369
2016-09-28,1.308,-0.879054
2016-09-29,1.3146,0.504587
2016-09-30,1.3127,-0.144531
2016-10-03,1.312,-0.053325
2016-10-04,1.3192,0.54878
2016-10-05,1.3176,-0.121286
2016-10-06,1.3218,0.318761
2016-10-07,1.3296,0.590104
2016-10-10,1.3176,-0.902527
2016-10-11,1.3265,0.675471
2016-10-12,1.3276,0.082925
2016-10-13,1.3192,-0.632721
2016-10-14,1.3139,-0.401759
2016-10-17,1.3129,-0.076109
2016-10-18,1.3109,-0.152335
2016-10-19,1.3114,0.038142
2016-10-20,1.323,0.884551
2016-10-21,1.3332,0.770975
2016-10-24,1.3286,-0.345035
2016-10-25,1.3351,0.489237
2016-10-26,1.3381,0.224702
2016-10-27,1.3386,0.037366
2016-10-28,1.3398,0.089646
2016-10-31,1.3409,0.082102
2016-11-01,1.339,-0.141696
2016-11-02,1.3393,0.022405
2016-11-03,1.3397,0.029866
2016-11-04,1.3404,0.052251
2016-11-07,1.3364,-0.298418
2016-11-08,1.3288,-0.568692
2016-11-09,1.3424,1.02348
2016-11-10,1.3469,0.335221
2016-11-11,1.3542,0.541985
2016-11-14,1.3557,0.110767
2016-11-15,1.3448,-0.804013
2016-11-16,1.3446,-0.014872
2016-11-17,1.3521,0.557787
2016-11-18,1.3505,-0.118334
2016-11-21,1.3418,-0.644206
2016-11-22,1.3441,0.171412
2016-11-23,1.3488,0.349676
2016-11-24,1.3492,0.029656
2016-11-25,1.3519,0.200119
2016-11-28,1.3412,-0.791479
2016-11-29,1.3432,0.14912
2016-11-30,1.3437,0.037225
2016-12-01,1.3319,-0.878172
2016-12-02,1.3292,-0.202718
2016-12-05,1.3271,-0.15799
2016-12-06,1.3277,0.045211
2016-12-07,1.3234,-0.323868
2016-12-08,1.3191,-0.324921
2016-12-09,1.3179,-0.090971
2016-12-12,1.313,-0.371804
2016-12-13,1.3131,0.007616
2016-12-14,1.3283,1.157566
2016-12-15,1.3336,0.399006
2016-12-16,1.3336,0.0
2016-12-19,1.3408,0.539892
2016-12-20,1.3368,-0.298329
2016-12-21,1.3413,0.336625
2016-12-22,1.3483,0.521882
2016-12-23,1.3533,0.370837
2016-12-26,1.3509,-0.177344
2016-12-27,1.3575,0.488563
2016-12-28,1.356,-0.110497
2016-12-29,1.3502,-0.427729
2016-12-30,1.3441,-0.451785
2017-01-02,1.3443,0.01488
2017-01-03,1.3427,-0.119021
2017-01-04,1.3302,-0.93096
2017-01-05,1.3225,-0.57886
2017-01-06,1.3237,0.090737
2017-01-09,1.3216,-0.158646
2017-01-10,1.3232,0.121065
2017-01-11,1.3179,-0.400544
2017-01-12,1.3145,-0.257986
2017-01-13,1.3114,-0.235831
2017-01-16,1.3175,0.465152
2017-01-17,1.3043,-1.001898
2017-01-18,1.3269,1.73273
2017-01-19,1.3318,0.369282
2017-01-20,1.332,0.015017
2017-01-23,1.3238,-0.615616
2017-01-24,1.3158,-0.604321
2017-01-25,1.307,-0.668795
2017-01-26,1.309,0.153022
2017-01-27,1.3153,0.481283
2017-01-30,1.3117,-0.273702
2017-01-31,1.303,-0.663261
2017-02-01,1.3049,0.145817
2017-02-02,1.3027,-0.168595
2017-02-03,1.3023,-0.030705
2017-02-06,1.3084,0.468402
2017-02-07,1.3185,0.771935
2017-02-08,1.3144,-0.310959
2017-02-09,1.3145,0.007608
2017-02-10,1.3083,-0.471662
2017-02-13,1.3071,-0.091722
2017-02-14,1.3076,0.038253
2017-02-15,1.308,0.03059
2017-02-16,1.3071,-0.068807
2017-02-17,1.3096,0.191263
2017-02-20,1.3106,0.076359
2017-02-21,1.3141,0.267053
2017-02-22,1.3164,0.175025
2017-02-23,1.3105,-0.448192
2017-02-24,1.3091,-0.106829
2017-02-27,1.318,0.679856
2017-02-28,1.3301,0.918058
2017-03-01,1.3325,0.180438
2017-03-02,1.3391,0.49531
2017-03-03,1.338,-0.082145
2017-03-06,1.3412,0.239163
2017-03-07,1.3413,0.007456
2017-03-08,1.3491,0.581525
2017-03-09,1.3511,0.148247
2017-03-10,1.3471,-0.296055
2017-03-13,1.3446,-0.185584
2017-03-14,1.3479,0.245426
2017-03-15,1.3304,-1.298316
2017-03-16,1.3319,0.112748
2017-03-17,1.335,0.23275
2017-03-20,1.335,0.0
2017-03-21,1.3352,0.014981
2017-03-22,1.3329,-0.172259
2017-03-23,1.335,0.157551
2017-03-24,1.3378,0.209738
2017-03-27,1.3376,-0.01495
2017-03-28,1.3383,0.052333
2017-03-29,1.3326,-0.425913
2017-03-30,1.3341,0.112562
